DATE,PRICE_PER_GALLON
2022-08-01,2.284
2022-09-01,2.327
2022-10-01,2.359
2022-11-01,2.295
2022-12-01,2.366
2022-01-01,2.458
2022-02-01,2.416
2022-03-01,2.437
2022-04-01,2.528
2022-05-01,2.503
2022-06-01,2.46
2022-07-01,2.414
2022-08-01,2.494
2022-09-01,2.761
2022-10-01,2.621
2022-11-01,2.678
2022-12-01,2.594
2022-01-01,2.671
2022-02-01,2.705
2022-03-01,2.709
2022-04-01,2.873
2022-05-01,2.987
2022-06-01,2.97
2022-07-01,2.928
2022-08-01,2.914
2022-09-01,2.915
2022-10-01,2.943
2022-11-01,2.736
2022-12-01,2.457
2022-01-01,2.338
2022-02-01,2.393
2022-03-01,2.594
2022-04-01,2.881
2022-05-01,2.946
2022-06-01,2.804
2022-07-01,2.823
2022-08-01,2.707
2022-09-01,2.681
2022-10-01,2.724
2022-11-01,2.693
2022-12-01,2.645
2022-01-01,2.636
2022-02-01,2.533
2022-03-01,2.329
2022-04-01,1.938
2022-05-01,1.961
2022-06-01,2.17
2022-07-01,2.272
2022-08-01,2.272
2022-09-01,2.274
2022-10-01,2.248
2022-11-01,2.2
2022-12-01,2.284
2022-01-01,2.42
2022-02-01,2.587
2022-03-01,2.898
2022-04-01,2.948
2022-05-01,3.076
2022-06-01,3.157
2022-07-01,3.231
2022-08-01,3.255
2022-09-01,3.272
2022-10-01,3.384
2022-11-01,3.491
2022-12-01,3.406
2022-01-01,3.413
2022-02-01,3.611
