LOCATION,INDICATOR,SUBJECT,MEASURE,FREQUENCY,TIME,Value,Flag Codes
AUS,HUR,TOT,PC_LF,M,2014-08,6.085177,
AUS,HUR,TOT,PC_LF,M,2014-09,6.216553,
AUS,HUR,TOT,PC_LF,M,2014-10,6.359546,
AUS,HUR,TOT,PC_LF,M,2014-11,6.297723,
AUS,HUR,TOT,PC_LF,M,2014-12,6.109701,
AUS,HUR,TOT,PC_LF,M,2015-01,6.352143,
AUS,HUR,TOT,PC_LF,M,2015-02,6.166001,
AUS,HUR,TOT,PC_LF,M,2015-03,6.114974,
AUS,HUR,TOT,PC_LF,M,2015-04,6.121676,
AUS,HUR,TOT,PC_LF,M,2015-05,5.933183,
AUS,HUR,TOT,PC_LF,M,2015-06,5.988641,
AUS,HUR,TOT,PC_LF,M,2015-07,6.256232,
AUS,HUR,TOT,PC_LF,M,2015-08,6.067544,
AUS,HUR,TOT,PC_LF,M,2015-09,6.146586,
AUS,HUR,TOT,PC_LF,M,2015-10,5.911436,
AUS,HUR,TOT,PC_LF,M,2015-11,5.853846,
AUS,HUR,TOT,PC_LF,M,2015-12,5.747006,
AUS,HUR,TOT,PC_LF,M,2016-01,6.043354,
AUS,HUR,TOT,PC_LF,M,2016-02,5.717444,
AUS,HUR,TOT,PC_LF,M,2016-03,5.672294,
AUS,HUR,TOT,PC_LF,M,2016-04,5.660189,
AUS,HUR,TOT,PC_LF,M,2016-05,5.71953,
AUS,HUR,TOT,PC_LF,M,2016-06,5.66641,
AUS,HUR,TOT,PC_LF,M,2016-07,5.672841,
AUS,HUR,TOT,PC_LF,M,2016-08,5.587458,
AUS,HUR,TOT,PC_LF,M,2016-09,5.624491,
AUS,HUR,TOT,PC_LF,M,2016-10,5.572135,
AUS,HUR,TOT,PC_LF,M,2016-11,5.762642,
AUS,HUR,TOT,PC_LF,M,2016-12,5.833465,
AUS,HUR,TOT,PC_LF,M,2017-01,5.70919,
AUS,HUR,TOT,PC_LF,M,2017-02,5.885886,
AUS,HUR,TOT,PC_LF,M,2017-03,5.887271,
AUS,HUR,TOT,PC_LF,M,2017-04,5.636843,
AUS,HUR,TOT,PC_LF,M,2017-05,5.539797,
AUS,HUR,TOT,PC_LF,M,2017-06,5.560977,
AUS,HUR,TOT,PC_LF,M,2017-07,5.565654,
AUS,HUR,TOT,PC_LF,M,2017-08,5.489003,
AUS,HUR,TOT,PC_LF,M,2017-09,5.421041,
AUS,HUR,TOT,PC_LF,M,2017-10,5.35039,
AUS,HUR,TOT,PC_LF,M,2017-11,5.421287,
AUS,HUR,TOT,PC_LF,M,2017-12,5.606496,
AUS,HUR,TOT,PC_LF,M,2018-01,5.535525,
AUS,HUR,TOT,PC_LF,M,2018-02,5.609531,
AUS,HUR,TOT,PC_LF,M,2018-03,5.555048,
AUS,HUR,TOT,PC_LF,M,2018-04,5.559155,
AUS,HUR,TOT,PC_LF,M,2018-05,5.386026,
AUS,HUR,TOT,PC_LF,M,2018-06,5.277534,
AUS,HUR,TOT,PC_LF,M,2018-07,5.259318,
AUS,HUR,TOT,PC_LF,M,2018-08,5.239898,
AUS,HUR,TOT,PC_LF,M,2018-09,4.986863,
AUS,HUR,TOT,PC_LF,M,2018-10,4.979814,
AUS,HUR,TOT,PC_LF,M,2018-11,5.108513,
AUS,HUR,TOT,PC_LF,M,2018-12,5.004922,
AUS,HUR,TOT,PC_LF,M,2019-01,5.081373,
AUS,HUR,TOT,PC_LF,M,2019-02,5.007784,
AUS,HUR,TOT,PC_LF,M,2019-03,5.135801,
AUS,HUR,TOT,PC_LF,M,2019-04,5.242968,
AUS,HUR,TOT,PC_LF,M,2019-05,5.199353,
AUS,HUR,TOT,PC_LF,M,2019-06,5.201538,
AUS,HUR,TOT,PC_LF,M,2019-07,5.228508,
AUS,HUR,TOT,PC_LF,M,2019-08,5.223804,
AUS,HUR,TOT,PC_LF,M,2019-09,5.160942,
AUS,HUR,TOT,PC_LF,M,2019-10,5.271043,
AUS,HUR,TOT,PC_LF,M,2019-11,5.15723,
AUS,HUR,TOT,PC_LF,M,2019-12,5.046326,
AUS,HUR,TOT,PC_LF,M,2020-01,5.311689,
AUS,HUR,TOT,PC_LF,M,2020-02,5.13366,
AUS,HUR,TOT,PC_LF,M,2020-03,5.271841,
AUS,HUR,TOT,PC_LF,M,2020-04,6.374276,
AUS,HUR,TOT,PC_LF,M,2020-05,7.018559,
AUS,HUR,TOT,PC_LF,M,2020-06,7.353504,
AUS,HUR,TOT,PC_LF,M,2020-07,7.44782,
AUS,HUR,TOT,PC_LF,M,2020-08,6.758088,
AUS,HUR,TOT,PC_LF,M,2020-09,6.854655,
AUS,HUR,TOT,PC_LF,M,2020-10,6.935978,
AUS,HUR,TOT,PC_LF,M,2020-11,6.832822,
AUS,HUR,TOT,PC_LF,M,2020-12,6.577847,
AUS,HUR,TOT,PC_LF,M,2021-01,6.399545,
AUS,HUR,TOT,PC_LF,M,2021-02,5.862685,
AUS,HUR,TOT,PC_LF,M,2021-03,5.693758,
AUS,HUR,TOT,PC_LF,M,2021-04,5.471205,
AUS,HUR,TOT,PC_LF,M,2021-05,5.065564,
AUS,HUR,TOT,PC_LF,M,2021-06,4.906898,
AUS,HUR,TOT,PC_LF,M,2021-07,4.628413,
AUS,HUR,TOT,PC_LF,M,2021-08,4.525121,
AUS,HUR,TOT,PC_LF,M,2021-09,4.631909,
AUS,HUR,TOT,PC_LF,M,2021-10,5.223247,
AUS,HUR,TOT,PC_LF,M,2021-11,4.608804,
AUS,HUR,TOT,PC_LF,M,2021-12,4.157424,
AUS,HUR,TOT,PC_LF,M,2022-01,4.192616,
AUT,HUR,TOT,PC_LF,M,2010-11,4.6,
AUT,HUR,TOT,PC_LF,M,2010-12,4.7,
AUT,HUR,TOT,PC_LF,M,2011-01,5,
AUT,HUR,TOT,PC_LF,M,2011-02,5.6,
AUT,HUR,TOT,PC_LF,M,2011-03,4.8,
AUT,HUR,TOT,PC_LF,M,2011-04,4.9,
AUT,HUR,TOT,PC_LF,M,2011-05,5,
AUT,HUR,TOT,PC_LF,M,2011-06,4.6,
AUT,HUR,TOT,PC_LF,M,2011-07,4.3,
AUT,HUR,TOT,PC_LF,M,2011-08,4.4,
AUT,HUR,TOT,PC_LF,M,2011-09,4.5,
AUT,HUR,TOT,PC_LF,M,2011-10,5,
AUT,HUR,TOT,PC_LF,M,2011-11,5.5,
AUT,HUR,TOT,PC_LF,M,2011-12,5.1,
AUT,HUR,TOT,PC_LF,M,2012-01,4.5,
AUT,HUR,TOT,PC_LF,M,2012-02,5.2,
AUT,HUR,TOT,PC_LF,M,2012-03,4.8,
AUT,HUR,TOT,PC_LF,M,2012-04,4.9,
AUT,HUR,TOT,PC_LF,M,2012-05,5.2,
AUT,HUR,TOT,PC_LF,M,2012-06,5.5,
AUT,HUR,TOT,PC_LF,M,2012-07,5.4,
AUT,HUR,TOT,PC_LF,M,2012-08,5.5,
AUT,HUR,TOT,PC_LF,M,2012-09,5.6,
AUT,HUR,TOT,PC_LF,M,2012-10,5.3,
AUT,HUR,TOT,PC_LF,M,2012-11,5.5,
AUT,HUR,TOT,PC_LF,M,2012-12,5.5,
AUT,HUR,TOT,PC_LF,M,2013-01,5.9,
AUT,HUR,TOT,PC_LF,M,2013-02,5.5,
AUT,HUR,TOT,PC_LF,M,2013-03,6,
AUT,HUR,TOT,PC_LF,M,2013-04,5.4,
AUT,HUR,TOT,PC_LF,M,2013-05,5.4,
AUT,HUR,TOT,PC_LF,M,2013-06,5.3,
AUT,HUR,TOT,PC_LF,M,2013-07,5.9,
AUT,HUR,TOT,PC_LF,M,2013-08,5.6,
AUT,HUR,TOT,PC_LF,M,2013-09,6,
AUT,HUR,TOT,PC_LF,M,2013-10,5.7,
AUT,HUR,TOT,PC_LF,M,2013-11,6.2,
AUT,HUR,TOT,PC_LF,M,2013-12,5.9,
AUT,HUR,TOT,PC_LF,M,2014-01,6.3,
AUT,HUR,TOT,PC_LF,M,2014-02,5.8,
AUT,HUR,TOT,PC_LF,M,2014-03,6.3,
AUT,HUR,TOT,PC_LF,M,2014-04,5.5,
AUT,HUR,TOT,PC_LF,M,2014-05,5.7,
AUT,HUR,TOT,PC_LF,M,2014-06,6.4,
AUT,HUR,TOT,PC_LF,M,2014-07,6,
AUT,HUR,TOT,PC_LF,M,2014-08,6,
AUT,HUR,TOT,PC_LF,M,2014-09,6.2,
AUT,HUR,TOT,PC_LF,M,2014-10,6,
AUT,HUR,TOT,PC_LF,M,2014-11,6.2,
AUT,HUR,TOT,PC_LF,M,2014-12,6.2,
AUT,HUR,TOT,PC_LF,M,2015-01,6,
AUT,HUR,TOT,PC_LF,M,2015-02,5.9,
AUT,HUR,TOT,PC_LF,M,2015-03,5.9,
AUT,HUR,TOT,PC_LF,M,2015-04,6.3,
AUT,HUR,TOT,PC_LF,M,2015-05,6.4,
AUT,HUR,TOT,PC_LF,M,2015-06,6.1,
AUT,HUR,TOT,PC_LF,M,2015-07,6.1,
AUT,HUR,TOT,PC_LF,M,2015-08,6.1,
AUT,HUR,TOT,PC_LF,M,2015-09,6.2,
AUT,HUR,TOT,PC_LF,M,2015-10,5.9,
AUT,HUR,TOT,PC_LF,M,2015-11,6.8,
AUT,HUR,TOT,PC_LF,M,2015-12,6.3,
AUT,HUR,TOT,PC_LF,M,2016-01,6.5,
AUT,HUR,TOT,PC_LF,M,2016-02,6.5,
AUT,HUR,TOT,PC_LF,M,2016-03,6.2,
AUT,HUR,TOT,PC_LF,M,2016-04,6.1,
AUT,HUR,TOT,PC_LF,M,2016-05,6.9,
AUT,HUR,TOT,PC_LF,M,2016-06,6.7,
AUT,HUR,TOT,PC_LF,M,2016-07,6.4,
AUT,HUR,TOT,PC_LF,M,2016-08,7.1,
AUT,HUR,TOT,PC_LF,M,2016-09,6.5,
AUT,HUR,TOT,PC_LF,M,2016-10,6.2,
AUT,HUR,TOT,PC_LF,M,2016-11,6.4,
AUT,HUR,TOT,PC_LF,M,2016-12,6.2,
AUT,HUR,TOT,PC_LF,M,2017-01,6,
AUT,HUR,TOT,PC_LF,M,2017-02,6.1,
AUT,HUR,TOT,PC_LF,M,2017-03,6.2,
AUT,HUR,TOT,PC_LF,M,2017-04,5.6,
AUT,HUR,TOT,PC_LF,M,2017-05,6.1,
AUT,HUR,TOT,PC_LF,M,2017-06,5.7,
AUT,HUR,TOT,PC_LF,M,2017-07,5.9,
AUT,HUR,TOT,PC_LF,M,2017-08,5.8,
AUT,HUR,TOT,PC_LF,M,2017-09,6.1,
AUT,HUR,TOT,PC_LF,M,2017-10,5.7,
AUT,HUR,TOT,PC_LF,M,2017-11,5.9,
AUT,HUR,TOT,PC_LF,M,2017-12,6,
AUT,HUR,TOT,PC_LF,M,2018-01,5.7,
AUT,HUR,TOT,PC_LF,M,2018-02,5.2,
AUT,HUR,TOT,PC_LF,M,2018-03,5.2,
AUT,HUR,TOT,PC_LF,M,2018-04,5.2,
AUT,HUR,TOT,PC_LF,M,2018-05,4.7,
AUT,HUR,TOT,PC_LF,M,2018-06,5.1,
AUT,HUR,TOT,PC_LF,M,2018-07,5.3,
AUT,HUR,TOT,PC_LF,M,2018-08,5.5,
AUT,HUR,TOT,PC_LF,M,2018-09,5.4,
AUT,HUR,TOT,PC_LF,M,2018-10,5.3,
AUT,HUR,TOT,PC_LF,M,2018-11,4.9,
AUT,HUR,TOT,PC_LF,M,2018-12,5.3,
AUT,HUR,TOT,PC_LF,M,2019-01,4.9,
AUT,HUR,TOT,PC_LF,M,2019-02,5.1,
AUT,HUR,TOT,PC_LF,M,2019-03,4.9,
AUT,HUR,TOT,PC_LF,M,2019-04,4.9,
AUT,HUR,TOT,PC_LF,M,2019-05,4.9,
AUT,HUR,TOT,PC_LF,M,2019-06,4.6,
AUT,HUR,TOT,PC_LF,M,2019-07,4.8,
AUT,HUR,TOT,PC_LF,M,2019-08,5.1,
AUT,HUR,TOT,PC_LF,M,2019-09,4.6,
AUT,HUR,TOT,PC_LF,M,2019-10,4.9,
AUT,HUR,TOT,PC_LF,M,2019-11,4.2,
AUT,HUR,TOT,PC_LF,M,2019-12,4.8,
AUT,HUR,TOT,PC_LF,M,2020-01,4.4,
AUT,HUR,TOT,PC_LF,M,2020-02,4.6,
AUT,HUR,TOT,PC_LF,M,2020-03,4.9,
AUT,HUR,TOT,PC_LF,M,2020-04,6,
AUT,HUR,TOT,PC_LF,M,2020-05,7,
AUT,HUR,TOT,PC_LF,M,2020-06,7.8,
AUT,HUR,TOT,PC_LF,M,2020-07,6.7,
AUT,HUR,TOT,PC_LF,M,2020-08,6.4,
AUT,HUR,TOT,PC_LF,M,2020-09,6.5,
AUT,HUR,TOT,PC_LF,M,2020-10,6.1,
AUT,HUR,TOT,PC_LF,M,2020-11,5.9,
AUT,HUR,TOT,PC_LF,M,2020-12,6.9,
AUT,HUR,TOT,PC_LF,M,2021-01,7.7,
AUT,HUR,TOT,PC_LF,M,2021-02,7,
AUT,HUR,TOT,PC_LF,M,2021-03,6.5,
AUT,HUR,TOT,PC_LF,M,2021-04,7.2,
AUT,HUR,TOT,PC_LF,M,2021-05,6.8,
AUT,HUR,TOT,PC_LF,M,2021-06,6.1,
AUT,HUR,TOT,PC_LF,M,2021-07,6,
AUT,HUR,TOT,PC_LF,M,2021-08,6,
AUT,HUR,TOT,PC_LF,M,2021-09,4.9,
AUT,HUR,TOT,PC_LF,M,2021-10,5.8,
AUT,HUR,TOT,PC_LF,M,2021-11,5.2,
AUT,HUR,TOT,PC_LF,M,2021-12,4.8,
AUT,HUR,TOT,PC_LF,M,2022-01,4.9,
BEL,HUR,TOT,PC_LF,M,2010-11,8,
BEL,HUR,TOT,PC_LF,M,2010-12,7.7,
BEL,HUR,TOT,PC_LF,M,2011-01,7.3,
BEL,HUR,TOT,PC_LF,M,2011-02,7.1,
BEL,HUR,TOT,PC_LF,M,2011-03,6.9,
BEL,HUR,TOT,PC_LF,M,2011-04,6.9,
BEL,HUR,TOT,PC_LF,M,2011-05,7,
BEL,HUR,TOT,PC_LF,M,2011-06,7.1,
BEL,HUR,TOT,PC_LF,M,2011-07,7.5,
BEL,HUR,TOT,PC_LF,M,2011-08,7.6,
BEL,HUR,TOT,PC_LF,M,2011-09,7.5,
BEL,HUR,TOT,PC_LF,M,2011-10,7.3,
BEL,HUR,TOT,PC_LF,M,2011-11,7.2,
BEL,HUR,TOT,PC_LF,M,2011-12,7.1,
BEL,HUR,TOT,PC_LF,M,2012-01,7.2,
BEL,HUR,TOT,PC_LF,M,2012-02,7.3,
BEL,HUR,TOT,PC_LF,M,2012-03,7.2,
BEL,HUR,TOT,PC_LF,M,2012-04,7.3,
BEL,HUR,TOT,PC_LF,M,2012-05,7.4,
BEL,HUR,TOT,PC_LF,M,2012-06,7.4,
BEL,HUR,TOT,PC_LF,M,2012-07,7.4,
BEL,HUR,TOT,PC_LF,M,2012-08,7.6,
BEL,HUR,TOT,PC_LF,M,2012-09,7.8,
BEL,HUR,TOT,PC_LF,M,2012-10,8.2,
BEL,HUR,TOT,PC_LF,M,2012-11,8.4,
BEL,HUR,TOT,PC_LF,M,2012-12,8.5,
BEL,HUR,TOT,PC_LF,M,2013-01,8.5,
BEL,HUR,TOT,PC_LF,M,2013-02,8.5,
BEL,HUR,TOT,PC_LF,M,2013-03,8.6,
BEL,HUR,TOT,PC_LF,M,2013-04,8.6,
BEL,HUR,TOT,PC_LF,M,2013-05,8.6,
BEL,HUR,TOT,PC_LF,M,2013-06,8.5,
BEL,HUR,TOT,PC_LF,M,2013-07,8.5,
BEL,HUR,TOT,PC_LF,M,2013-08,8.4,
BEL,HUR,TOT,PC_LF,M,2013-09,8.5,
BEL,HUR,TOT,PC_LF,M,2013-10,8.6,
BEL,HUR,TOT,PC_LF,M,2013-11,8.7,
BEL,HUR,TOT,PC_LF,M,2013-12,8.7,
BEL,HUR,TOT,PC_LF,M,2014-01,8.8,
BEL,HUR,TOT,PC_LF,M,2014-02,8.7,
BEL,HUR,TOT,PC_LF,M,2014-03,8.7,
BEL,HUR,TOT,PC_LF,M,2014-04,8.6,
BEL,HUR,TOT,PC_LF,M,2014-05,8.6,
BEL,HUR,TOT,PC_LF,M,2014-06,8.6,
BEL,HUR,TOT,PC_LF,M,2014-07,8.5,
BEL,HUR,TOT,PC_LF,M,2014-08,8.5,
BEL,HUR,TOT,PC_LF,M,2014-09,8.6,
BEL,HUR,TOT,PC_LF,M,2014-10,8.7,
BEL,HUR,TOT,PC_LF,M,2014-11,8.8,
BEL,HUR,TOT,PC_LF,M,2014-12,8.7,
BEL,HUR,TOT,PC_LF,M,2015-01,8.8,
BEL,HUR,TOT,PC_LF,M,2015-02,8.8,
BEL,HUR,TOT,PC_LF,M,2015-03,8.9,
BEL,HUR,TOT,PC_LF,M,2015-04,8.9,
BEL,HUR,TOT,PC_LF,M,2015-05,8.8,
BEL,HUR,TOT,PC_LF,M,2015-06,8.6,
BEL,HUR,TOT,PC_LF,M,2015-07,8.2,
BEL,HUR,TOT,PC_LF,M,2015-08,8.1,
BEL,HUR,TOT,PC_LF,M,2015-09,8.3,
BEL,HUR,TOT,PC_LF,M,2015-10,8.8,
BEL,HUR,TOT,PC_LF,M,2015-11,9,
BEL,HUR,TOT,PC_LF,M,2015-12,8.9,
BEL,HUR,TOT,PC_LF,M,2016-01,8.5,
BEL,HUR,TOT,PC_LF,M,2016-02,8.4,
BEL,HUR,TOT,PC_LF,M,2016-03,8.3,
BEL,HUR,TOT,PC_LF,M,2016-04,8.3,
BEL,HUR,TOT,PC_LF,M,2016-05,8.3,
BEL,HUR,TOT,PC_LF,M,2016-06,8.2,
BEL,HUR,TOT,PC_LF,M,2016-07,7.9,
BEL,HUR,TOT,PC_LF,M,2016-08,7.7,
BEL,HUR,TOT,PC_LF,M,2016-09,7.5,
BEL,HUR,TOT,PC_LF,M,2016-10,7.4,
BEL,HUR,TOT,PC_LF,M,2016-11,7.3,
BEL,HUR,TOT,PC_LF,M,2016-12,7.4,B
BEL,HUR,TOT,PC_LF,M,2017-01,7.7,
BEL,HUR,TOT,PC_LF,M,2017-02,7.9,
BEL,HUR,TOT,PC_LF,M,2017-03,7.8,
BEL,HUR,TOT,PC_LF,M,2017-04,7.5,
BEL,HUR,TOT,PC_LF,M,2017-05,7.3,
BEL,HUR,TOT,PC_LF,M,2017-06,7.2,
BEL,HUR,TOT,PC_LF,M,2017-07,7.2,
BEL,HUR,TOT,PC_LF,M,2017-08,7.1,
BEL,HUR,TOT,PC_LF,M,2017-09,6.9,
BEL,HUR,TOT,PC_LF,M,2017-10,6.7,
BEL,HUR,TOT,PC_LF,M,2017-11,6.4,
BEL,HUR,TOT,PC_LF,M,2017-12,6.2,
BEL,HUR,TOT,PC_LF,M,2018-01,6.1,
BEL,HUR,TOT,PC_LF,M,2018-02,6.1,
BEL,HUR,TOT,PC_LF,M,2018-03,6.2,
BEL,HUR,TOT,PC_LF,M,2018-04,6.5,
BEL,HUR,TOT,PC_LF,M,2018-05,6.5,
BEL,HUR,TOT,PC_LF,M,2018-06,6.2,
BEL,HUR,TOT,PC_LF,M,2018-07,5.9,
BEL,HUR,TOT,PC_LF,M,2018-08,5.7,
BEL,HUR,TOT,PC_LF,M,2018-09,5.6,
BEL,HUR,TOT,PC_LF,M,2018-10,5.8,
BEL,HUR,TOT,PC_LF,M,2018-11,5.9,
BEL,HUR,TOT,PC_LF,M,2018-12,5.9,
BEL,HUR,TOT,PC_LF,M,2019-01,5.8,
BEL,HUR,TOT,PC_LF,M,2019-02,5.6,
BEL,HUR,TOT,PC_LF,M,2019-03,5.6,
BEL,HUR,TOT,PC_LF,M,2019-04,5.6,
BEL,HUR,TOT,PC_LF,M,2019-05,5.6,
BEL,HUR,TOT,PC_LF,M,2019-06,5.5,
BEL,HUR,TOT,PC_LF,M,2019-07,5.3,
BEL,HUR,TOT,PC_LF,M,2019-08,5.2,
BEL,HUR,TOT,PC_LF,M,2019-09,5.2,
BEL,HUR,TOT,PC_LF,M,2019-10,5.3,
BEL,HUR,TOT,PC_LF,M,2019-11,5.3,
BEL,HUR,TOT,PC_LF,M,2019-12,5.3,
BEL,HUR,TOT,PC_LF,M,2020-01,5.2,
BEL,HUR,TOT,PC_LF,M,2020-02,5.1,
BEL,HUR,TOT,PC_LF,M,2020-03,5.1,
BEL,HUR,TOT,PC_LF,M,2020-04,5.2,
BEL,HUR,TOT,PC_LF,M,2020-05,5.3,
BEL,HUR,TOT,PC_LF,M,2020-06,5.7,
BEL,HUR,TOT,PC_LF,M,2020-07,6.2,
BEL,HUR,TOT,PC_LF,M,2020-08,6.6,
BEL,HUR,TOT,PC_LF,M,2020-09,6.4,
BEL,HUR,TOT,PC_LF,M,2020-10,6,
BEL,HUR,TOT,PC_LF,M,2020-11,5.9,
BEL,HUR,TOT,PC_LF,M,2020-12,6.1,
BEL,HUR,TOT,PC_LF,M,2021-01,6.5,
BEL,HUR,TOT,PC_LF,M,2021-02,6.7,
BEL,HUR,TOT,PC_LF,M,2021-03,6.7,
BEL,HUR,TOT,PC_LF,M,2021-04,6.5,
BEL,HUR,TOT,PC_LF,M,2021-05,6.3,
BEL,HUR,TOT,PC_LF,M,2021-06,6.3,
BEL,HUR,TOT,PC_LF,M,2021-07,6.2,
BEL,HUR,TOT,PC_LF,M,2021-08,6.3,
BEL,HUR,TOT,PC_LF,M,2021-09,6.2,
BEL,HUR,TOT,PC_LF,M,2021-10,6.1,
BEL,HUR,TOT,PC_LF,M,2021-11,5.9,
BEL,HUR,TOT,PC_LF,M,2021-12,5.7,
BEL,HUR,TOT,PC_LF,M,2022-01,5.6,
CAN,HUR,TOT,PC_LF,M,2010-11,7.7,
CAN,HUR,TOT,PC_LF,M,2010-12,7.7,
CAN,HUR,TOT,PC_LF,M,2011-01,7.8,
CAN,HUR,TOT,PC_LF,M,2011-02,7.7,
CAN,HUR,TOT,PC_LF,M,2011-03,7.7,
CAN,HUR,TOT,PC_LF,M,2011-04,7.7,
CAN,HUR,TOT,PC_LF,M,2011-05,7.6,
CAN,HUR,TOT,PC_LF,M,2011-06,7.6,
CAN,HUR,TOT,PC_LF,M,2011-07,7.3,
CAN,HUR,TOT,PC_LF,M,2011-08,7.3,
CAN,HUR,TOT,PC_LF,M,2011-09,7.4,
CAN,HUR,TOT,PC_LF,M,2011-10,7.4,
CAN,HUR,TOT,PC_LF,M,2011-11,7.6,
CAN,HUR,TOT,PC_LF,M,2011-12,7.5,
CAN,HUR,TOT,PC_LF,M,2012-01,7.7,
CAN,HUR,TOT,PC_LF,M,2012-02,7.5,
CAN,HUR,TOT,PC_LF,M,2012-03,7.3,
CAN,HUR,TOT,PC_LF,M,2012-04,7.3,
CAN,HUR,TOT,PC_LF,M,2012-05,7.4,
CAN,HUR,TOT,PC_LF,M,2012-06,7.2,
CAN,HUR,TOT,PC_LF,M,2012-07,7.3,
CAN,HUR,TOT,PC_LF,M,2012-08,7.3,
CAN,HUR,TOT,PC_LF,M,2012-09,7.3,
CAN,HUR,TOT,PC_LF,M,2012-10,7.5,
CAN,HUR,TOT,PC_LF,M,2012-11,7.4,
CAN,HUR,TOT,PC_LF,M,2012-12,7.3,
CAN,HUR,TOT,PC_LF,M,2013-01,7.1,
CAN,HUR,TOT,PC_LF,M,2013-02,7.1,
CAN,HUR,TOT,PC_LF,M,2013-03,7.3,
CAN,HUR,TOT,PC_LF,M,2013-04,7.2,
CAN,HUR,TOT,PC_LF,M,2013-05,7,
CAN,HUR,TOT,PC_LF,M,2013-06,7.2,
CAN,HUR,TOT,PC_LF,M,2013-07,7.1,
CAN,HUR,TOT,PC_LF,M,2013-08,7.1,
CAN,HUR,TOT,PC_LF,M,2013-09,7.1,
CAN,HUR,TOT,PC_LF,M,2013-10,7.1,
CAN,HUR,TOT,PC_LF,M,2013-11,7,
CAN,HUR,TOT,PC_LF,M,2013-12,7.3,
CAN,HUR,TOT,PC_LF,M,2014-01,7.1,
CAN,HUR,TOT,PC_LF,M,2014-02,7.1,
CAN,HUR,TOT,PC_LF,M,2014-03,7,
CAN,HUR,TOT,PC_LF,M,2014-04,7.1,
CAN,HUR,TOT,PC_LF,M,2014-05,7.1,
CAN,HUR,TOT,PC_LF,M,2014-06,7.1,
CAN,HUR,TOT,PC_LF,M,2014-07,7.1,
CAN,HUR,TOT,PC_LF,M,2014-08,7,
CAN,HUR,TOT,PC_LF,M,2014-09,6.9,
CAN,HUR,TOT,PC_LF,M,2014-10,6.7,
CAN,HUR,TOT,PC_LF,M,2014-11,6.7,
CAN,HUR,TOT,PC_LF,M,2014-12,6.7,
CAN,HUR,TOT,PC_LF,M,2015-01,6.7,
CAN,HUR,TOT,PC_LF,M,2015-02,6.8,
CAN,HUR,TOT,PC_LF,M,2015-03,6.9,
CAN,HUR,TOT,PC_LF,M,2015-04,6.9,
CAN,HUR,TOT,PC_LF,M,2015-05,6.9,
